147,현대엘리베이,"43,400",350,+0.81%,"5,000","17,714","40,815",26.32,"252,531",19.44,5.22,
148,KODEX 단기채권,"102,680",5,0.00%,0,"17,434","16,979",0.00,"9,865",N/A,N/A,
149,KODEX 200TR,"13,775",215,+1.59%,0,"17,398","126,300",0.17,"532,345",N/A,N/A,
150,농심,"285,500","2,000",+0.71%,"5,000","17,366","6,083",17.37,"28,186",12.81,3.72,
151,KODEX MSCI Korea TR,"13,815",170,+1.25%,0,"17,172","124,300",10.27,"399,964",N/A,N/A,
152,아이에스동서,"55,400",100,+0.18%,500,"17,114","30,893",5.32,"89,243",13.36,6.10,
153,한국앤컴퍼니,"18,200","1,650",+9.97%,500,"16,930","93,020",7.37,"3,540,816",15.19,4.71,
154,F&F,"109,500","4,500",+4.29%,500,"16,863","15,400",9.66,"155,339",19.36,25.13,
155,효성,"79,900",600,+0.76%,"5,000","16,836","21,071",7.31,"272,285",-37.46,4.25,
156,한올바이오파마,"32,050",500,-1.54%,500,"16,743","52,241",7.23,"341,416",85.01,14.90,
157,세방전지,"119,500","6,500",-5.16%,500,"16,730","14,000",25.38,"955,176",22.64,7.70,
158,TIGER MSCI Korea TR,"17,375",220,+1.28%,0,"16,350","94,100",0.00,"237,680",N/A,N/A,
159,영원무역,"35,350",100,-0.28%,500,"15,664","44,311",24.03,"131,155",9.56,9.82,
160,명신산업,"37,650",600,+1.62%,500,"15,353","40,779",2.02,"566,303",N/A,53.84,
161,KODEX 종합채권(AA-이상)액티브,"109,855",155,+0.14%,0,"14,995","13,650",0.00,"39,664",N/A,N/A,
162,LG생활건강우,"712,000","9,000",+1.28%,"5,000","14,950","2,100",84.27,"9,380",15.95,N/A,
163,솔루스첨단소재,"48,450",400,+0.83%,100,"14,821","30,590",7.75,"593,972",140.03,N/A,
164,부광약품,"22,650",50,-0.22%,500,"14,686","64,838",4.96,"446,485","11,325.00",-2.00,
165,지누스,"101,500","1,500",+1.50%,500,"14,623","14,407",23.14,"54,650",20.48,26.32,
166,롯데정밀화학,"56,000",300,+0.54%,"5,000","14,448","25,800",22.69,"150,584",8.45,11.73,
167,LG전자우,"80,800",700,-0.86%,"5,000","13,886","17,186",38.68,"462,910",17.55,N/A,
168,NHN,"70,900",200,+0.28%,500,"13,872","19,565",11.48,"71,741",47.24,0.78,
169,에스엘,"27,850",650,-2.28%,500,"13,425","48,203",14.93,"689,942",29.91,7.25,
170,SK네트웍스,"5,400",200,+3.85%,"2,500","13,402","248,188",11.92,"1,453,243",-23.38,-5.85,
171,코오롱인더,"49,100","7,150",+17.04%,"5,000","13,247","26,979",15.24,"6,085,313",8.79,1.58,
172,메리츠금융지주,"9,790",180,+1.87%,500,"13,120","134,011",8.26,"189,524",2.82,15.26,
173,동원시스템즈,"51,100","1,000",-1.92%,"5,000","13,091","25,619",1.53,"221,379",29.03,8.69,
174,KBSTAR 200,"42,865",615,+1.46%,0,"13,031","30,400",0.06,"955,528",N/A,N/A,
175,영진약품,"7,020",140,+2.03%,500,"12,839","182,893",4.23,"662,611","-1,755.00",4.43,
176,SK디스커버리,"66,900",700,+1.06%,"5,000","12,736","19,038",9.98,"100,586",4.39,11.52,
177,효성첨단소재,"281,000","5,000",+1.81%,"5,000","12,589","4,480",9.93,"376,720",-18.82,-19.74,
178,이노션,"62,900",900,-1.41%,500,"12,580","20,000",29.98,"67,161",19.59,9.88,
179,한전KPS,"27,800",600,+2.21%,200,"12,510","45,000",10.86,"177,428",10.32,14.98,
180,신세계인터내셔날,"174,000",0,0.00%,"5,000","12,424","7,140",4.82,"37,224",27.55,12.98,
181,솔루엠,"29,150","4,850",-14.26%,500,"12,391","42,508",1.82,"19,594,294",28.78,86.98,
182,다우기술,"27,300",850,+3.21%,500,"12,249","44,867",22.55,"856,477",4.39,14.62,
183,KODEX 인버스,"3,900",65,-1.64%,0,"12,160","311,800",2.37,"163,792,698",N/A,N/A,
